"imageCSV_only.i.","div","plateID","rowID","colID","density","uniqueCells.k.","avgRelTurnAngle","avgAbsRelTurnAngle","avgSegLen","totLen","degree","numNeurites","avgTort","totCPs","avgCPs","degree_0.5","degree_1.0","degree_1.5","degree_2.0","degree_3.0","degree_4.0","degree_6.0","numNeurites_0.5","numNeurites_1.0","numNeurites_1.5","numNeurites_2.0","numNeurites_3.0","numNeurites_4.0","numNeurites_6.0","totCPs_0.5","totCPs_1.0","totCPs_1.5","totCPs_2.0","totCPs_3.0","totCPs_4.0","totCPs_6.0","avgAbsRelTurnAngle_0.5","avgAbsRelTurnAngle_1.0","avgAbsRelTurnAngle_1.5","avgAbsRelTurnAngle_2.0","avgAbsRelTurnAngle_3.0","avgAbsRelTurnAngle_4.0","avgAbsRelTurnAngle_6.0","avgSegLen_0.5","avgSegLen_1.0","avgSegLen_1.5","avgSegLen_2.0","avgSegLen_3.0","avgSegLen_4.0","avgSegLen_6.0","totLen_0.5","totLen_1.0","totLen_1.5","totLen_2.0","totLen_3.0","totLen_4.0","totLen_6.0","avgTort_0.5","avgTort_1.0","avgTort_1.5","avgTort_2.0","avgTort_3.0","avgTort_4.0","avgTort_6.0"
"asl-rhin-CB2-20_0000_tracings.csv",0.5,"C","B",2,10000,"2",32.2132985508132,32.2132985508132,5.41487446578309,10.8297489315662,3,3,1.02019222936552,1,1,3,2,1,1,3,5,10,3,2,1,1,3,4,7,1,8,1,1,9,12,29,32.2132985508132,29.7397692697133,13.0670757949112,23.6857673240192,20.8328365473911,18.7528760493442,21.600796844949,5.41487446578309,8.71974532504294,7.83512308887754,13.2551417742394,12.5806397269719,11.0194492564458,11.5962419982176,10.8297489315662,87.1974532504293,15.6702461777551,26.5102835484787,125.806397269719,176.311188103132,382.67598594118,1.02019222936552,1.11377345356402,1.00809680835029,1.03234506230913,1.03686992210685,1.02786000425352,1.02636540526223
"asl-rhin-CB2-20_0001_tracings.csv",0.5,"C","B",2,10000,"1",-22.8590527540528,22.8590527540528,8.07985720448092,56.5590004313664,3,3,1.03656199927643,4,1.33333333333333,3,2,3,3,5,1,14,3,2,3,3,5,1,8,4,7,2,7,14,3,56,22.8590527540528,25.2905162478577,18.7026783157043,22.5862805668749,22.802874582667,8.13893307152736,20.0739511554855,8.07985720448092,8.64576415388674,6.02235516760511,10.8300105891566,10.3802788177217,12.96397277742,12.1891026173462,56.5590004313664,77.8118773849807,24.0894206704204,108.300105891566,197.225297536712,51.85589110968,816.669875362198,1.03656199927643,1.03341223608311,1.01996658033931,1.05079539707529,1.06281712744682,1.02762796630131,1.04025917859657
"asl-rhin-CB2-20_0002_tracings.csv",0.5,"C","B",2,10000,"1",-22.2931544200123,22.964758514219,10.1774503919859,71.2421527439016,3,3,1.09942555273788,4,1.33333333333333,3,1,1,1,3,2,3,3,1,1,1,3,2,3,4,1,1,5,11,8,15,22.964758514219,8.97262661489639,7.74107625730103,35.4313794538928,29.5949272096505,14.2999832900653,20.2452065301042,10.1774503919859,6.11717576656067,12.2767330210139,10.2116873311074,10.3419339294155,9.61494992816348,9.54911520276505,71.2421527439016,12.2343515331213,24.5534660420278,61.2701239866444,144.787075011816,86.5345493534713,171.884073649771,1.09942555273788,1.00634848979465,1.01131583989902,1.12040099947343,1.07838966646935,1.0436209228065,1.06832343992174
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"1",0,24.5671713206013,7.25277710098883,21.7583313029665,1,1,1.02871475627509,2,2,1,2,2,2,3,1,10,1,2,2,1,3,1,4,2,1,3,10,10,10,33,24.5671713206013,3.34681864174022,20.9649107321018,38.3583453694099,15.2771951327951,19.1574509683867,21.1072406395123,7.25277710098883,7.72736233197046,11.5954990313876,10.4452193460222,10.6182218644711,12.0016937337847,12.6301902861178,21.7583313029665,15.4547246639409,57.977495156938,125.342632152267,127.418662373653,132.018631071631,530.467992016947,1.02871475627509,1.00202972280529,1.04572185366956,1.12171115271895,1.03230431148933,1.05372285941277,1.04100934270094
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"3",2.43603147863045,20.1541311498762,8.75218393312536,26.256551799376,2,2,1.01473251846003,2,2,2,2,2,2,4,2,6,2,2,2,2,4,2,5,2,4,2,3,5,5,30,20.1541311498762,29.7004207539375,3.57419349487852,20.0628097099237,34.61097379339,34.0132188564537,15.8379188741159,8.75218393312536,6.64510951913755,12.1097457100049,9.47318785861179,10.0161673834314,9.42537151685272,11.5034757834315,26.256551799376,39.8706571148253,48.4389828400195,47.3659392930589,70.1131716840198,65.9776006179691,414.125128203536,1.01473251846003,1.10659853756241,1.00602050341175,1.02944593261556,1.13240321945374,1.09719823286082,1.0276555885123
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"2",-18.9993662212524,18.9993662212524,7.55494837617775,22.6648451285332,1,1,1.07831516301741,2,2,1,3,6,1,5,4,10,1,3,6,1,4,4,8,2,2,1,1,6,17,29,18.9993662212524,16.2330220026357,4.98536883844039,27.8972710309476,23.6560445419989,25.5596954507234,25.3690154813849,7.55494837617775,8.74990963004772,8.87748737755318,10.9826820596019,8.78824263421641,10.2697518680171,12.7932863217191,22.6648451285332,34.9996385201909,17.7549747551064,21.9653641192039,87.882426342164,215.664789228358,460.558307581887,1.07831516301741,1.01458711183809,1.00510241173958,1.04564323074461,1.04369188920456,1.12873993356651,1.04904494226838
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"4",24.486680931716,24.486680931716,5.34910882036748,10.698217640735,2,2,1.02011777322247,1,1,2,4,2,3,4,2,8,2,4,2,3,3,2,6,1,1,3,4,10,2,44,24.486680931716,37.4835582837305,17.8213485546542,28.5694796622952,18.9699341338417,24.543687944328,20.6456362231007,5.34910882036748,6.8271363487323,16.0789651538192,7.41020872503078,9.573956822936,9.37048948977344,9.86007493030964,10.698217640735,13.6542726974646,64.3158606152768,51.8714610752154,124.461438698168,37.4819579590937,512.723896376101,1.02011777322247,1.05935041020378,1.02280020385197,1.05473167286008,1.06826431045692,1.03324281660463,1.05871218424247
"asl-rhin-CB2-20_0004_tracings.csv",0.5,"C","B",2,10000,"2",-16.8184285745219,24.6979540725818,7.10080266064127,49.7056186244889,4,4,1.04551091286127,4,1.33333333333333,4,3,5,1,1,3,7,4,3,5,1,1,2,4,4,2,4,2,3,11,49,24.6979540725818,16.6511149625815,22.3136431257638,16.9548146854659,22.0714922491529,20.6999275669337,18.4675808538551,7.10080266064127,7.5684089294953,7.63391478721535,11.4335272552584,10.9559107780284,15.6215159591565,12.2694988191592,49.7056186244889,30.2736357179812,61.0713182977228,34.3005817657752,43.8236431121136,218.701223428191,687.091933872916,1.04551091286127,1.01663016208257,1.03721512506814,1.02583034729351,1.0595938353516,1.04466802761904,1.03575801577225
"asl-rhin-CB2-20_0005_tracings.csv",0.5,"C","B",2,10000,"1",-13.3550407935004,20.2249384393444,6.75042320833316,33.7521160416658,2,2,1.03639972959494,3,1.5,2,1,3,3,8,3,10,2,1,3,3,8,3,4,3,2,6,8,27,13,34,20.2249384393444,24.6443924928263,23.2711570934545,36.5069293985689,19.4659668920973,23.1340147520375,20.0018048188001,6.75042320833316,7.44223037703161,11.7062464891646,11.5142568007074,9.96493749484588,11.2427751355555,11.8934324327317,33.7521160416658,22.3266911310948,105.356218402481,103.628311206367,348.772812319606,179.884402168889,511.417594607461,1.03639972959494,1.02208992873379,1.03199504433666,1.16668039525185,1.03142986573015,1.04459489249308,1.03822414445552
"asl-rhin-CB2-20_0006_tracings.csv",0.5,"C","B",2,10000,"1",2.57254534589235,51.51773157493,7.38218842933287,29.5287537173315,2,2,1.14433789088763,2,1,2,1,9,1,1,5,10,2,1,9,1,1,5,4,2,1,10,1,4,18,43,51.51773157493,35.3335975169602,27.7231185632762,9.42644508089686,48.388688303821,22.4067718104003,24.0775206100414,7.38218842933287,7.30451246495478,9.60937771656425,9.90690970612949,8.85480357906141,10.8561026481793,10.3626188826207,29.5287537173315,14.6090249299096,153.750043465028,19.813819412259,44.2740178953071,227.978155611764,549.218800778895,1.14433789088763,1.08187526214864,1.04841676598827,1.00829304242857,2.13255326580882,1.12750852892909,1.14796681803222
